Trial 37 finished with values: [11.033482909202576, 0.8219312578439713] and parameters: {'resnet2d_inplanes_0': 45, 'resnet3d_inplanes_0': 17, 'resnet2d_inplanes_1': 33, 'resnet3d_inplanes_1': 26, 'resnet2d_inplanes_2': 34, 'resnet3d_inplanes_2': 30, 'optimizer': 'RMSprop', 'lr': 8.159194313742829e-05, 'weight_decay': 8.4335112798632e-06, 'batch_size': 5}. 
Trial 38 finished with values: [11.681529426574707, 0.831417715549469] and parameters: {'resnet2d_inplanes_0': 37, 'resnet3d_inplanes_0': 25, 'resnet2d_inplanes_1': 43, 'resnet3d_inplanes_1': 27, 'resnet2d_inplanes_2': 62, 'resnet3d_inplanes_2': 32, 'optimizer': 'Adam', 'lr': 2.4136633487601786e-05, 'weight_decay': 4.486726546954734e-06, 'batch_size': 3}. 
Trial 39 finished with values: [9.32661485671997, 0.8311626464128494] and parameters: {'resnet2d_inplanes_0': 53, 'resnet3d_inplanes_0': 30, 'resnet2d_inplanes_1': 59, 'resnet3d_inplanes_1': 28, 'resnet2d_inplanes_2': 57, 'resnet3d_inplanes_2': 24, 'optimizer': 'RMSprop', 'lr': 0.0020638973946346564, 'weight_decay': 0.0006754269426576557, 'batch_size': 4}. 
Trial 40 finished with values: [9.633577585220337, 0.8261870294809341] and parameters: {'resnet2d_inplanes_0': 41, 'resnet3d_inplanes_0': 32, 'resnet2d_inplanes_1': 34, 'resnet3d_inplanes_1': 21, 'resnet2d_inplanes_2': 54, 'resnet3d_inplanes_2': 19, 'optimizer': 'RMSprop', 'lr': 0.0036520845197504934, 'weight_decay': 5.416968762905651e-05, 'batch_size': 4}. 
Trial 41 finished with values: [11.751611709594727, 0.8076068609952927] and parameters: {'resnet2d_inplanes_0': 38, 'resnet3d_inplanes_0': 32, 'resnet2d_inplanes_1': 55, 'resnet3d_inplanes_1': 32, 'resnet2d_inplanes_2': 44, 'resnet3d_inplanes_2': 27, 'optimizer': 'Adam', 'lr': 3.2776138380251444e-05, 'weight_decay': 2.4548136423498254e-06, 'batch_size': 4}. 
Trial 42 finished with values: [8.847898364067078, 0.7912565767765045] and parameters: {'resnet2d_inplanes_0': 46, 'resnet3d_inplanes_0': 29, 'resnet2d_inplanes_1': 64, 'resnet3d_inplanes_1': 25, 'resnet2d_inplanes_2': 53, 'resnet3d_inplanes_2': 17, 'optimizer': 'SGD', 'lr': 0.0001506854935595076, 'weight_decay': 0.0002976816554392442, 'batch_size': 4}. 
Trial 43 finished with values: [11.305170726776122, 0.840206241607666] and parameters: {'resnet2d_inplanes_0': 33, 'resnet3d_inplanes_0': 29, 'resnet2d_inplanes_1': 47, 'resnet3d_inplanes_1': 29, 'resnet2d_inplanes_2': 56, 'resnet3d_inplanes_2': 20, 'optimizer': 'Adam', 'lr': 0.0004408847038308015, 'weight_decay': 3.0327955205156674e-05, 'batch_size': 3}. 
Trial 44 finished with values: [15.882384872436523, 0.8669474482536316] and parameters: {'resnet2d_inplanes_0': 36, 'resnet3d_inplanes_0': 30, 'resnet2d_inplanes_1': 38, 'resnet3d_inplanes_1': 20, 'resnet2d_inplanes_2': 49, 'resnet3d_inplanes_2': 22, 'optimizer': 'RMSprop', 'lr': 0.030536382066256057, 'weight_decay': 0.0006530185079447909, 'batch_size': 3}. 
Trial 45 finished with values: [25.277933502197264, 1.0] and parameters: {'resnet2d_inplanes_0': 64, 'resnet3d_inplanes_0': 16, 'resnet2d_inplanes_1': 37, 'resnet3d_inplanes_1': 19, 'resnet2d_inplanes_2': 46, 'resnet3d_inplanes_2': 18, 'optimizer': 'SGD', 'lr': 0.013380249984734544, 'weight_decay': 0.000647202461826359, 'batch_size': 3}. 
Trial 46 finished with values: [9.50198154449463, 0.8059316277503967] and parameters: {'resnet2d_inplanes_0': 38, 'resnet3d_inplanes_0': 24, 'resnet2d_inplanes_1': 37, 'resnet3d_inplanes_1': 17, 'resnet2d_inplanes_2': 57, 'resnet3d_inplanes_2': 30, 'optimizer': 'Adam', 'lr': 7.128790478344418e-05, 'weight_decay': 0.0011559355102396178, 'batch_size': 3}. 
