Trial 48 finished with values: [28.825385411580402, 0.9915215770403544] and parameters: {'resnet2d_inplanes_0': 45, 'resnet3d_inplanes_0': 17, 'resnet2d_inplanes_1': 42, 'resnet3d_inplanes_1': 25, 'resnet2d_inplanes_2': 41, 'resnet3d_inplanes_2': 31, 'optimizer': 'RMSprop', 'lr': 0.022696127906782358, 'weight_decay': 0.0010378247060603449, 'batch_size': 4}. 
Trial 49 finished with values: [10.225498676300049, 0.8476400524377823] and parameters: {'resnet2d_inplanes_0': 55, 'resnet3d_inplanes_0': 23, 'resnet2d_inplanes_1': 60, 'resnet3d_inplanes_1': 25, 'resnet2d_inplanes_2': 45, 'resnet3d_inplanes_2': 23, 'optimizer': 'SGD', 'lr': 0.0037266824939320886, 'weight_decay': 2.403331044775197e-06, 'batch_size': 3}. 
Trial 50 finished with values: [25.45405864715576, 0.9355050623416901] and parameters: {'resnet2d_inplanes_0': 38, 'resnet3d_inplanes_0': 30, 'resnet2d_inplanes_1': 51, 'resnet3d_inplanes_1': 31, 'resnet2d_inplanes_2': 32, 'resnet3d_inplanes_2': 27, 'optimizer': 'SGD', 'lr': 0.0017356610872777847, 'weight_decay': 7.822432432112048e-06, 'batch_size': 3}. 
Trial 51 finished with values: [20.20237859090169, 0.8919522563616434] and parameters: {'resnet2d_inplanes_0': 63, 'resnet3d_inplanes_0': 25, 'resnet2d_inplanes_1': 57, 'resnet3d_inplanes_1': 17, 'resnet2d_inplanes_2': 60, 'resnet3d_inplanes_2': 27, 'optimizer': 'SGD', 'lr': 0.00012386855572445095, 'weight_decay': 0.00036406015791540073, 'batch_size': 5}. 
Trial 52 finished with values: [10.328330993652344, 0.8183974226315817] and parameters: {'resnet2d_inplanes_0': 50, 'resnet3d_inplanes_0': 30, 'resnet2d_inplanes_1': 52, 'resnet3d_inplanes_1': 23, 'resnet2d_inplanes_2': 59, 'resnet3d_inplanes_2': 23, 'optimizer': 'Adam', 'lr': 0.0001619055984025739, 'weight_decay': 9.966411566111861e-05, 'batch_size': 2}. 
Trial 53 finished with values: [10.589578231175741, 0.8116801182428995] and parameters: {'resnet2d_inplanes_0': 62, 'resnet3d_inplanes_0': 21, 'resnet2d_inplanes_1': 60, 'resnet3d_inplanes_1': 31, 'resnet2d_inplanes_2': 45, 'resnet3d_inplanes_2': 21, 'optimizer': 'SGD', 'lr': 0.0037266824939320886, 'weight_decay': 2.403331044775197e-06, 'batch_size': 2}. 
Trial 54 finished with values: [9.854530652364096, 0.8198771675427755] and parameters: {'resnet2d_inplanes_0': 50, 'resnet3d_inplanes_0': 30, 'resnet2d_inplanes_1': 44, 'resnet3d_inplanes_1': 23, 'resnet2d_inplanes_2': 59, 'resnet3d_inplanes_2': 19, 'optimizer': 'SGD', 'lr': 0.0003626614387055849, 'weight_decay': 8.908812661140106e-05, 'batch_size': 2}. 
Trial 55 finished with values: [24.689548015594482, 1.0] and parameters: {'resnet2d_inplanes_0': 63, 'resnet3d_inplanes_0': 16, 'resnet2d_inplanes_1': 54, 'resnet3d_inplanes_1': 28, 'resnet2d_inplanes_2': 32, 'resnet3d_inplanes_2': 19, 'optimizer': 'RMSprop', 'lr': 0.02862066366069195, 'weight_decay': 2.5953849961508382e-05, 'batch_size': 3}. 
Trial 56 finished with values: [12.773744742075602, 0.8353460729122162] and parameters: {'resnet2d_inplanes_0': 54, 'resnet3d_inplanes_0': 23, 'resnet2d_inplanes_1': 45, 'resnet3d_inplanes_1': 28, 'resnet2d_inplanes_2': 33, 'resnet3d_inplanes_2': 22, 'optimizer': 'Adam', 'lr': 0.034274951207556886, 'weight_decay': 9.957739692173178e-06, 'batch_size': 2}. 
Trial 57 finished with values: [13.544600486755371, 0.814472496509552] and parameters: {'resnet2d_inplanes_0': 46, 'resnet3d_inplanes_0': 18, 'resnet2d_inplanes_1': 48, 'resnet3d_inplanes_1': 28, 'resnet2d_inplanes_2': 50, 'resnet3d_inplanes_2': 19, 'optimizer': 'SGD', 'lr': 4.0726664526178316e-05, 'weight_decay': 0.001977593845715424, 'batch_size': 4}. 
